Region,Hours,Maths,Science,Win
North,1.1,79,84,Yes
South,,93,72,No
East,,74,86,Yes
South,,60,68,Yes
East,2.2,73,61,No
North,2.9,,99,Yes
North,3,,60,No
West,3.2,,87,No
West,3.2,77,82,Yes
West,3.7,60,81,No
North,3.9,87,77,Yes
South,4,97,62,No
East,4,78,84,No
South,4.1,61,93,Yes
North,4.5,96,69,No
South,4.9,84,98,No
East,5.1,82,69,Yes
South,5.3,56,85,Yes
East,5.9,56,57,Yes
North,6,83,64,No
North,6.8,50,63,Yes
West,7.1,92,85,No
West,7.9,70,56,No
West,8.2,70,99,No
North,8.7,73,75,Yes
South,9,62,56,Yes
East,9.5,75,88,No
South,9.6,74,99,Yes
South,10.3,86,53,No
South,10.5,51,55,Yes
