FORMAT,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,4s,6s,Ct,St
Tests,113,191,11,8848,254,49.15,15924,55.56,29,30,991,26,111,0
ODIs,292,280,44,13848,183,58.67,14797,93.58,50,72,1294,151,151,0
T20Is,117,109,31,4037,122,51.75,2922,138.15,1,37,361,117,52,0
FC,145,239,18,11097,254,50.21,19827,55.96,36,38,1304,41,142,0
List A,326,313,47,15290,183,57.48,16333,93.61,54,80,1458,175,169,0
T20s,376,359,68,11994,122,41.21,8989,133.42,8,91,1074,371,172,0
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
